	Microbiome	Metabolite	Correlation	P_value	Site
1611	Oral_Campylobacter	Aceteugenol	-0.30629275	0.004359162	Oral
1612	Oral_Oribacterium	Aceteugenol	-0.357787766	0.000774313	Oral
955	Gut_Blautia	Acetylcarnosine	0.317445712	0.004905585	Gut
956	Gut_Dorea	Acetylcarnosine	0.307771176	0.006470377	Gut
957	Gut_Anaerobutyricum	Acetylcarnosine	0.303301961	0.007331253	Gut
1606	Oral_Anaeroglobus	Acetylcarnosine	-0.367326399	0.000543864	Oral
283	Gut_Sutterella	Adipic acid	-0.319866448	0.004570847	Gut
284	Gut_Unclassified_Bacteroidaceae	Adipic acid	-0.301487986	0.007708428	Gut
1395	Oral_Aggregatibacter	Adipic acid	-0.424408833	5.17E-05	Oral
1396	Oral_Tessaracoccus	Adipic acid	-0.327273438	0.002233394	Oral
2487	Nasal_Cloacibacterium	Adipic acid	-0.306784989	0.004534223	Nasal
174	Gut_Eggerthella	Adrenosterone	0.317366844	0.004916847	Gut
1752	Skin_Peptoniphilus	Adrenosterone	-0.314204718	0.00360639	Skin
1165	Gut_Prevotella	Aesculetin	0.327067669	0.003691696	Gut
1166	Gut_Anaerostipes	Aesculetin	0.300488985	0.007923339	Gut
1167	Gut_Dorea	Aesculetin	0.333902939	0.002999985	Gut
1168	Gut_Lactococcus	Aesculetin	0.37031633	0.00091624	Gut
2913	Nasal_Phascolarctobacterium	Aesculetin	0.333029594	0.001965458	Nasal
2914	Nasal_Klebsiella	Aesculetin	0.430393844	4.38E-05	Nasal
2915	Nasal_Anaerobutyricum	Aesculetin	0.324099667	0.002633707	Nasal
2916	Nasal_Paenibacillus	Aesculetin	0.307959441	0.00437451	Nasal
2917	Nasal_Tumebacillus	Aesculetin	0.341655783	0.001469203	Nasal
2918	Nasal_Cardiobacterium	Aesculetin	0.368079215	0.000571631	Nasal
1062	Gut_Unclassified_Lachnospiraceae	alpha-Hydroxyisobutyric acid	0.332457017	0.003135801	Gut
960	Gut_Unclassified_Bacteroidetes	alpha-Linolenic acid	-0.33457552	0.002938621	Gut
2786	Nasal_Lancefieldella	alpha-Linolenic acid	-0.325515468	0.002515739	Nasal
958	Gut_Unclassified_Ruminococcaceae	Alpinetin	0.32911825	0.003470605	Gut
959	Gut_Dysosmobacter	Alpinetin	0.318286976	0.004786871	Gut
1152	Gut_Eisenbergiella	Aminoadipic acid	0.322651033	0.004210991	Gut
2264	Skin_Ralstonia	Aminoadipic acid	-0.349551228	0.001117478	Skin
1008	Gut_Lactococcus	Amoxapine	0.482008005	9.06E-06	Gut
1634	Oral_Oribacterium	Amoxapine	0.316415869	0.003175517	Oral
1635	Oral_Moraxella	Amoxapine	-0.309842777	0.003905585	Oral
2232	Skin_Unclassified_Bacteroidales	Amoxapine	-0.311098062	0.003971976	Skin
2233	Skin_Enhydrobacter	Amoxapine	0.310154905	0.00408932	Skin
2234	Skin_Aerococcus	Amoxapine	0.32679282	0.0024134	Skin
2235	Skin_Brochothrix	Amoxapine	0.32399678	0.00264247	Skin
2236	Skin_Lawsonella	Amoxapine	0.317415801	0.003260375	Skin
2841	Nasal_Unclassified_Proteobacteria	Amoxapine	0.354127539	0.000950487	Nasal
2842	Nasal_Collinsella	Amoxapine	0.377284371	0.000403552	Nasal
2843	Nasal_Porphyromonas	Amoxapine	-0.340649995	0.001520556	Nasal
2844	Nasal_Brevundimonas	Amoxapine	0.334514529	0.00187052	Nasal
2845	Nasal_Chryseobacterium	Amoxapine	0.316848825	0.003319223	Nasal
2846	Nasal_Tumebacillus	Amoxapine	0.331703267	0.002053903	Nasal
2847	Nasal_Cardiobacterium	Amoxapine	0.407200603	0.00012098	Nasal
2848	Nasal_Pedobacter	Amoxapine	0.377183124	0.000405123	Nasal
2849	Nasal_Unclassified_Comamonadaceae	Amoxapine	0.396731785	0.000186837	Nasal
655	Gut_Lawsonibacter	Aniline	0.37538777	0.000768043	Gut
656	Gut_Intestinimonas	Aniline	0.350859667	0.001756883	Gut
1479	Oral_Haemophilus	Aniline	-0.30267735	0.004868695	Oral
1480	Oral_Campylobacter	Aniline	0.359898378	0.00071676	Oral
1936	Skin_Cutibacterium	Aniline	0.421808241	6.44E-05	Skin
1238	Gut_Prevotella	Arabinofuranosylcytosine	-0.350570482	0.001773428	Gut
1239	Gut_Beduinibacterium	Arabinofuranosylcytosine	-0.32756717	0.003636715	Gut
2316	Skin_Ruminococcus	Arabinofuranosylcytosine	-0.301125347	0.005378842	Skin
2317	Skin_Blautia	Arabinofuranosylcytosine	-0.341836296	0.001460155	Skin
2968	Nasal_Janibacter	Arabinofuranosylcytosine	-0.32218448	0.002801179	Nasal
544	Gut_Parabacteroides	Arachidic acid	-0.333377149	0.003048752	Gut
545	Gut_Unclassified_Bacteroidales	Arachidic acid	0.448735475	4.26E-05	Gut
546	Gut_Eisenbergiella	Arachidic acid	0.310636732	0.005966476	Gut
547	Gut_Coprobacter	Arachidic acid	0.336926232	0.002732866	Gut
548	Gut_Anaerotruncus	Arachidic acid	0.332220411	0.00315854	Gut
1432	Oral_Granulicatella	Arachidic acid	-0.342954856	0.001313052	Oral
1433	Oral_Abiotrophia	Arachidic acid	-0.323353527	0.002539727	Oral
1859	Skin_Lautropia	Arachidic acid	-0.343241875	0.001391403	Skin
1860	Skin_Pseudomonas	Arachidic acid	0.302784246	0.005117896	Skin
1861	Skin_Abiotrophia	Arachidic acid	-0.314874531	0.003531621	Skin
2524	Nasal_Eubacterium	Arachidic acid	-0.347467323	0.001201998	Nasal
539	Gut_Mailhella	Arachidonic acid	0.301213926	0.00776687	Gut
1750	Skin_Paracoccus	Argininosuccinic acid	-0.341318214	0.001486261	Skin
2413	Nasal_Dolosigranulum	Argininosuccinic acid	0.3053068	0.004742597	Nasal
1309	Gut_Parasutterella	Ascorbic acid	0.313423419	0.005509997	Gut
1310	Gut_Porphyromonas	Ascorbic acid	0.300188628	0.007988972	Gut
1311	Gut_Citrobacter	Ascorbic acid	-0.328198118	0.003568309	Gut
1312	Gut_Desulfonispora	Ascorbic acid	0.317366844	0.004916847	Gut
1704	Oral_Corynebacterium	Ascorbic acid	0.32380301	0.002502782	Oral
1705	Oral_Bradyrhizobium	Ascorbic acid	-0.30149649	0.00504622	Oral
2339	Skin_Dolosigranulum	Ascorbic acid	-0.312313012	0.003825245	Skin
2340	Skin_Lactococcus	Ascorbic acid	0.339111066	0.001602275	Skin
2341	Skin_Xanthomonas	Ascorbic acid	-0.356606257	0.000869831	Skin
2342	Skin_Leuconostoc	Ascorbic acid	0.32054592	0.002951971	Skin
3000	Nasal_Unclassified_Alphaproteobacteria	Ascorbic acid	-0.37053124	0.000521519	Nasal
3001	Nasal_Mucilaginibacter	Ascorbic acid	-0.444357823	2.29E-05	Nasal
3002	Nasal_Deinococcus	Ascorbic acid	0.320596543	0.002947206	Nasal
3003	Nasal_Ornithinimicrobium	Ascorbic acid	-0.365954905	0.000618562	Nasal
3004	Nasal_Rubellimicrobium	Ascorbic acid	-0.3453799	0.001292431	Nasal
931	Gut_Lawsonibacter	Aspartyl-Glutamate	0.312766181	0.00561478	Gut
932	Gut_Phocea	Aspartyl-Glutamate	0.31387034	0.005439736	Gut
498	Gut_Anaerobutyricum	Aspartylphenylalanine	0.350044692	0.00180387	Gut
1843	Skin_Granulicatella	Aspartylphenylalanine	-0.3119789	0.003865106	Skin
2505	Nasal_Unclassified_Alphaproteobacteria	Aspartylphenylalanine	0.333373832	0.001943071	Nasal
2506	Nasal_Pseudomonas	Aspartylphenylalanine	0.374243191	0.000453264	Nasal
856	Gut_Aestuariispira	Asymmetric dimethylarginine	0.438377412	6.67E-05	Gut
857	Gut_Unclassified_Streptophyta	Asymmetric dimethylarginine	-0.353698933	0.001601675	Gut
858	Gut_Catenibacterium	Asymmetric dimethylarginine	-0.329512593	0.003429467	Gut
859	Gut_Zea	Asymmetric dimethylarginine	-0.35911457	0.001339471	Gut
860	Gut_Lactococcus	Asymmetric dimethylarginine	0.305748894	0.006848213	Gut
861	Gut_Massilimicrobiota	Asymmetric dimethylarginine	-0.316367843	0.005061497	Gut
862	Gut_Faecalicatena	Asymmetric dimethylarginine	0.308586151	0.006323383	Gut
863	Gut_Colidextribacter	Asymmetric dimethylarginine	0.310268679	0.006029195	Gut
864	Gut_Unclassified_Eggerthellaceae	Asymmetric dimethylarginine	0.300804459	0.007854911	Gut
865	Gut_Unclassified_Prevotellaceae	Asymmetric dimethylarginine	0.333878844	0.003002205	Gut
866	Gut_Unclassified_Christensenellaceae	Asymmetric dimethylarginine	0.307140228	0.00658624	Gut
867	Gut_Lactonifactor	Asymmetric dimethylarginine	0.31702508	0.004965915	Gut
868	Gut_Christensenella	Asymmetric dimethylarginine	0.310822801	0.005934988	Gut
1572	Oral_Neisseria	Asymmetric dimethylarginine	0.370705491	0.000478629	Oral
1573	Oral_Staphylococcus	Asymmetric dimethylarginine	-0.329454069	0.002077765	Oral
1574	Oral_Veillonella	Asymmetric dimethylarginine	-0.357533711	0.000781518	Oral
1575	Oral_Corynebacterium	Asymmetric dimethylarginine	-0.319503615	0.002876788	Oral
1576	Oral_Lancefieldella	Asymmetric dimethylarginine	-0.302638265	0.004874481	Oral
1577	Oral_Dialister	Asymmetric dimethylarginine	-0.389720539	0.000227143	Oral
1578	Oral_Unclassified_Neisseriaceae	Asymmetric dimethylarginine	0.501817471	9.95E-07	Oral
1579	Oral_Sphingomonas	Asymmetric dimethylarginine	-0.362794243	0.000644136	Oral
1580	Oral_Filifactor	Asymmetric dimethylarginine	-0.396855564	0.000169705	Oral
2149	Skin_Unclassified_Erythrobacteraceae	Asymmetric dimethylarginine	-0.314066154	0.003622033	Skin
2150	Skin_Anaerosinus	Asymmetric dimethylarginine	0.405064316	0.000132355	Skin
2151	Skin_Escherichia/Shigella	Asymmetric dimethylarginine	0.377484952	0.000400456	Skin
2152	Skin_Unclassified_Burkholderiales	Asymmetric dimethylarginine	0.416851441	8.00E-05	Skin
2153	Skin_Rubellimicrobium	Asymmetric dimethylarginine	-0.32969859	0.002194395	Skin
2154	Skin_Stenotrophobacter	Asymmetric dimethylarginine	-0.310824698	0.004005674	Skin
2155	Skin_Brachybacterium	Asymmetric dimethylarginine	-0.347230941	0.001211942	Skin
2156	Skin_Roseomonas	Asymmetric dimethylarginine	0.310114407	0.004094427	Skin
2157	Skin_Unclassified_Comamonadaceae	Asymmetric dimethylarginine	0.358308992	0.000818089	Skin
2158	Skin_Curvibacter	Asymmetric dimethylarginine	-0.315340262	0.003480451	Skin
2159	Skin_Tessaracoccus	Asymmetric dimethylarginine	0.328078648	0.002314175	Skin
2160	Skin_Flavobacterium	Asymmetric dimethylarginine	0.332673548	0.001988858	Skin
2161	Skin_Pseudoxanthomonas	Asymmetric dimethylarginine	0.336883669	0.001727587	Skin
2162	Skin_Aquabacterium	Asymmetric dimethylarginine	0.34524828	0.001298334	Skin
2163	Skin_Conchiformibius	Asymmetric dimethylarginine	0.385080339	0.000298065	Skin
2164	Skin_Polaromonas	Asymmetric dimethylarginine	-0.300902607	0.005414763	Skin
2165	Skin_Caulobacter	Asymmetric dimethylarginine	0.318033401	0.003197336	Skin
2166	Skin_Phenylobacterium	Asymmetric dimethylarginine	0.321556756	0.002858111	Skin
2167	Skin_Unclassified_Rhizobiales	Asymmetric dimethylarginine	0.318013152	0.003199386	Skin
2749	Nasal_Enterococcus	Asymmetric dimethylarginine	-0.30519543	0.004758636	Nasal
2750	Nasal_Ottowia	Asymmetric dimethylarginine	0.386414835	0.000282785	Nasal
2751	Nasal_Janibacter	Asymmetric dimethylarginine	-0.326517802	0.002435113	Nasal
2752	Nasal_Carnobacterium	Asymmetric dimethylarginine	0.31722504	0.00328007	Nasal
2753	Nasal_Cloacibacterium	Asymmetric dimethylarginine	0.352173495	0.001018798	Nasal
2754	Nasal_Cardiobacterium	Asymmetric dimethylarginine	0.406137522	0.000126523	Nasal
2755	Nasal_Unclassified_Chlorophyta	Asymmetric dimethylarginine	0.390061659	0.000244627	Nasal
2756	Nasal_Unclassified_Weeksellaceae	Asymmetric dimethylarginine	0.346523978	0.001242131	Nasal
2757	Nasal_Unclassified_Microbacteriaceae	Asymmetric dimethylarginine	-0.30932626	0.004194954	Nasal
2758	Nasal_Eremococcus	Asymmetric dimethylarginine	-0.323846551	0.002655313	Nasal
2759	Nasal_Unclassified_Propionibacteriaceae	Asymmetric dimethylarginine	0.309771741	0.004137867	Nasal
2760	Nasal_Gemmatirosa	Asymmetric dimethylarginine	0.369992761	0.000532166	Nasal
106	Gut_Terrisporobacter	Atractylenolide III	-0.334008097	0.002990316	Gut
107	Gut_Mogibacterium	Atractylenolide III	0.334008097	0.002990316	Gut
1341	Oral_Gemella	Atractylenolide III	-0.315985929	0.003219243	Oral
1342	Oral_Cryptobacterium	Atractylenolide III	0.300296075	0.005232549	Oral
2796	Nasal_Fusobacterium	Aurin	0.310316898	0.004068948	Nasal
182	Gut_Mediterraneibacter	Avobenzone	-0.368815395	0.00096483	Gut
351	Gut_Anaerobutyricum	Azelaic acid	-0.316288974	0.005073075	Gut
1405	Oral_Solobacterium	Azelaic acid	-0.301817471	0.004997405	Oral
896	Gut_Subdoligranulum	Baclofen	-0.307219097	0.006571657	Gut
717	Gut_Cuneatibacter	Benzoic acid	0.333271991	0.00305859	Gut
611	Gut_Oxalobacter	Benzoin	0.329722909	0.003407705	Gut
612	Gut_Marvinbryantia	Benzoin	0.322729902	0.004201177	Gut
720	Gut_Butyricimonas	Benzylideneacetone	0.331799779	0.00319933	Gut
721	Gut_Citrobacter	Benzylideneacetone	0.322861349	0.004184864	Gut
722	Gut_Cuneatibacter	Benzylideneacetone	0.30127767	0.007753242	Gut
723	Gut_Agathobaculum	Benzylideneacetone	-0.354145854	0.001578403	Gut
724	Gut_Haemophilus	Benzylideneacetone	-0.320707718	0.004459355	Gut
725	Gut_Schaalia	Benzylideneacetone	-0.344602766	0.002147714	Gut
726	Gut_Unclassified_Candidatus_Saccharibacteria	Benzylideneacetone	-0.357826384	0.001398053	Gut
727	Gut_Unclassified_Enterobacteriaceae	Benzylideneacetone	0.312715657	0.005622907	Gut
728	Gut_Acetivibrio	Benzylideneacetone	0.342791043	0.002274616	Gut
1517	Oral_Unclassified_Bacillaceae_1	Benzylideneacetone	-0.300724549	0.005165352	Oral
2050	Skin_Neobacillus	Benzylideneacetone	0.307777198	0.00439896	Skin
2681	Nasal_Brochothrix	Benzylideneacetone	0.302443074	0.005170627	Nasal
898	Gut_Dorea	Bergapten	0.316131237	0.005096303	Gut
899	Gut_Agathobaculum	Bergapten	0.390188759	0.000451432	Gut
1160	Gut_Bacteroides	beta-Glycerophosphoric acid	-0.322651033	0.004210991	Gut
1161	Gut_Haemophilus	beta-Glycerophosphoric acid	0.319603552	0.004606192	Gut
1162	Gut_Raoultibacter	beta-Glycerophosphoric acid	0.324622746	0.003971638	Gut
1163	Gut_Unclassified_Candidatus_Saccharibacteria	beta-Glycerophosphoric acid	0.336584468	0.002761956	Gut
2268	Skin_Cutibacterium	beta-Glycerophosphoric acid	-0.302723499	0.00512725	Skin
2269	Skin_Klebsiella	beta-Glycerophosphoric acid	0.307725018	0.004405983	Skin
2270	Skin_Unclassified_Clostridia	beta-Glycerophosphoric acid	0.350158703	0.001093876	Skin
2271	Skin_Lactococcus	beta-Glycerophosphoric acid	0.300678344	0.005451143	Skin
2909	Nasal_Kocuria	beta-Glycerophosphoric acid	0.300649492	0.005455839	Nasal
1545	Oral_Solobacterium	Beta-Tyrosine	-0.305647841	0.004446416	Oral
1546	Oral_Catonella	Beta-Tyrosine	-0.32945085	0.002077987	Oral
781	Gut_Eisenbergiella	Betonicine	-0.301987486	0.007602906	Gut
782	Gut_Ihubacter	Betonicine	-0.341500605	0.002369066	Gut
1540	Oral_Oribacterium	Betonicine	0.380555013	0.000327175	Oral
2243	Skin_Lysinibacillus	Biliverdin	-0.307259289	0.004469109	Skin
405	Gut_Bifidobacterium	Butylparaben	-0.313819824	0.005447638	Gut
2494	Nasal_Unclassified_Alphaproteobacteria	Butylparaben	0.308538104	0.004297674	Nasal
1823	Skin_Cardiobacterium	Butyric acid	0.315095677	0.00350724	Skin
108	Gut_Anaerotignum	Butyrylcarnitine	0.302960198	0.007401049	Gut
109	Gut_Eisenbergiella	Butyrylcarnitine	0.303301961	0.007331253	Gut
2385	Nasal_Anaerococcus	Caffeine	0.300172117	0.005534062	Nasal
1392	Oral_Fusobacterium	Caprylic acid	0.355598984	0.000838419	Oral
1393	Oral_Mogibacterium	Caprylic acid	0.301641587	0.005024101	Oral
1567	Oral_Delftia	Carbendazim	-0.339319914	0.001488737	Oral
2140	Skin_Dorea	Carbendazim	0.309864431	0.004126076	Skin
2141	Skin_Lactococcus	Carbendazim	0.304302926	0.004888918	Skin
2142	Skin_Kingella	Carbendazim	0.308953214	0.004243297	Skin
2143	Skin_Xanthomonas	Carbendazim	-0.311633087	0.003906753	Skin
2144	Skin_Dietzia	Carbendazim	0.355686725	0.000898995	Skin
2145	Skin_Psychrobacter	Carbendazim	-0.327805283	0.002334958	Skin
2146	Skin_Latilactobacillus	Carbendazim	0.304019439	0.004930957	Skin
2147	Skin_Leuconostoc	Carbendazim	0.315331734	0.003481382	Skin
2148	Skin_Unclassified_Micrococcaceae	Carbendazim	-0.313264722	0.003713702	Skin
2744	Nasal_Pelomonas	Carbendazim	-0.336915748	0.001725721	Nasal
2745	Nasal_Mucilaginibacter	Carbendazim	-0.312009274	0.003861467	Nasal
2746	Nasal_Parvimonas	Carbendazim	0.371563952	0.000501643	Nasal
2177	Skin_Staphylococcus	Carbimazole	0.302075529	0.005227972	Skin
560	Gut_Unclassified_Prevotellaceae	Cetoleic acid	0.305946067	0.006810538	Gut
1863	Skin_Eubacterium	Cetoleic acid	-0.322548965	0.00276859	Skin
567	Gut_Unclassified_Lachnospiraceae	Chenodeoxycholic acid	-0.31387034	0.005439736	Gut
568	Gut_Faecalibacterium	Chenodeoxycholic acid	-0.338319575	0.002617088	Gut
569	Gut_Oscillibacter	Chenodeoxycholic acid	-0.493743099	5.04E-06	Gut
570	Gut_Unclassified_Clostridiales	Chenodeoxycholic acid	-0.348178138	0.001915775	Gut
571	Gut_Unclassified_Ruminococcaceae	Chenodeoxycholic acid	-0.456175404	3.05E-05	Gut
572	Gut_Coprococcus	Chenodeoxycholic acid	-0.36644934	0.001046189	Gut
573	Gut_Butyricimonas	Chenodeoxycholic acid	-0.320521584	0.004483813	Gut
574	Gut_Anaerotruncus	Chenodeoxycholic acid	-0.386481939	0.000516904	Gut
575	Gut_Cuneatibacter	Chenodeoxycholic acid	-0.438771755	6.56E-05	Gut
576	Gut_Enterocloster	Chenodeoxycholic acid	0.380487933	0.00064132	Gut
577	Gut_Oxalobacter	Chenodeoxycholic acid	-0.39326463	0.00040296	Gut
578	Gut_Erysipelatoclostridium	Chenodeoxycholic acid	0.434144803	7.99E-05	Gut
579	Gut_Longicatena	Chenodeoxycholic acid	0.384194753	0.000561513	Gut
599	Gut_Oscillibacter	Chenodeoxycholic acid glycine conjugate	-0.360192439	0.001292168	Gut
600	Gut_Unclassified_Ruminococcaceae	Chenodeoxycholic acid glycine conjugate	-0.33122141	0.003256184	Gut
601	Gut_Erysipelatoclostridium	Chenodeoxycholic acid glycine conjugate	0.456412009	3.02E-05	Gut
602	Gut_Longicatena	Chenodeoxycholic acid glycine conjugate	0.410063621	0.000212454	Gut
1027	Gut_Holdemania	Chenodeoxycholic acid glycine conjugate	0.378936853	0.000677681	Gut
1867	Skin_Granulicatella	Chenodeoxycholic acid glycine conjugate	0.311189183	0.0039608	Skin
583	Gut_Terrisporobacter	Cholic acid	0.303117935	0.007368763	Gut
584	Gut_Eggerthella	Cholic acid	-0.387296914	0.000501807	Gut
1447	Oral_Fusobacterium	Cholic acid	-0.311022083	0.003764504	Oral
2023	Skin_Dermacoccus	Choline	-0.306462554	0.004578968	Skin
843	Gut_Faecalibacterium	Chorismate	0.300278669	0.007969247	Gut
844	Gut_Anaerotignum	Chorismate	-0.31757716	0.004886866	Gut
419	Gut_Oscillibacter	Cinnamoylglycine	0.416005048	0.00016803	Gut
420	Gut_Unclassified_Ruminococcaceae	Cinnamoylglycine	0.385114885	0.000543161	Gut
421	Gut_Odoribacter	Cinnamoylglycine	0.31389663	0.005435628	Gut
422	Gut_Beduinibacterium	Cinnamoylglycine	0.462931805	2.24E-05	Gut
423	Gut_Oxalobacter	Cinnamoylglycine	0.321625743	0.004340452	Gut
424	Gut_Erysipelatoclostridium	Cinnamoylglycine	-0.329775488	0.003402284	Gut
425	Gut_Faecalimonas	Cinnamoylglycine	-0.303670014	0.007256736	Gut
426	Gut_Unclassified_Clostridia	Cinnamoylglycine	0.36550532	0.00108035	Gut
1409	Oral_Megasphaera	Cinnamoylglycine	0.314383428	0.003387003	Oral
1410	Oral_Lachnoanaerobaculum	Cinnamoylglycine	0.331854602	0.001917792	Oral
930	Gut_Neglecta	Cinoxacin	0.356774804	0.00144758	Gut
1605	Oral_Anaeroglobus	Cinoxacin	0.319827633	0.002846949	Oral
1835	Skin_Gemella	cis-4-Decenedioic acid	-0.300820087	0.005428124	Skin
311	Gut_Ruminococcus2	cis-4-Decenoic acid	-0.305562858	0.006883927	Gut
312	Gut_Negativibacillus	cis-4-Decenoic acid	-0.310952206	0.005913175	Gut
700	Gut_Unclassified_Ruminococcaceae	cis-4-Hydroxy-D-proline	0.307981492	0.006432158	Gut
1037	Gut_Bacteroides	Citicoline	-0.301435407	0.007719611	Gut
1038	Gut_Collinsella	Citicoline	0.320679321	0.004463079	Gut
1039	Gut_Anaerobutyricum	Citicoline	0.341789789	0.002347599	Gut
2859	Nasal_Unclassified_Streptophyta	Citicoline	0.325139212	0.002546617	Nasal
2860	Nasal_Pseudomonas	Citicoline	0.317100334	0.003293002	Nasal
1555	Oral_Cardiobacterium	Citrulline	0.322532734	0.002608458	Oral
2731	Nasal_Rubellimicrobium	Citrulline	-0.305539666	0.004709217	Nasal
561	Gut_Dorea	Cohumulone	-0.332010095	0.003178877	Gut
2527	Nasal_Flavobacterium	Cohumulone	0.315706345	0.003440696	Nasal
212	Gut_Streptococcus	Corticosterone	-0.392449656	0.000415316	Gut
213	Gut_Barnesiella	Corticosterone	0.329407435	0.003440394	Gut
214	Gut_Massiliimalia	Corticosterone	-0.301119933	0.007787003	Gut
1796	Skin_Anaerococcus	Cortisol	0.307097297	0.004491254	Skin
1795	Skin_Enhydrobacter	Cortisone	0.307401033	0.004449812	Skin
225	Gut_Anaerobutyricum	Corynantheidine	-0.362190441	0.001208462	Gut
798	Gut_Unclassified_Lachnospiraceae	Coumarin	0.300646722	0.00788906	Gut
1521	Oral_Unclassified_Flavobacteriales	Creatine	0.3440607	0.00126346	Oral
1502	Oral_Selenomonas	Creatinine	0.312468243	0.003597718	Oral
1503	Oral_Anaeroglobus	Creatinine	0.324684017	0.002431765	Oral
2025	Skin_Anaerococcus	Creatinine	-0.305679862	0.004689221	Skin
2026	Skin_Dermabacter	Creatinine	-0.319531839	0.003048898	Skin
870	Gut_Holdemanella	Crotamiton	-0.315368842	0.005209903	Gut
1581	Oral_Eikenella	Crotamiton	0.320656635	0.002771864	Oral
1582	Oral_Stenotrophomonas	Crotamiton	-0.327177322	0.002240489	Oral
2764	Nasal_Unclassified_Chitinophagaceae	Crotamiton	0.333675882	0.001923618	Nasal
905	Gut_Roseburia	Cyclo(L-His-L-Pro)	-0.303459698	0.007299235	Gut
2240	Skin_Corynebacterium	Cysteineglutathione disulfide	-0.314366711	0.003588179	Skin
824	Gut_Unclassified_Streptophyta	Cysteinylglycine	0.354619065	0.001554096	Gut
825	Gut_Fusobacterium	Cysteinylglycine	0.345143969	0.002111059	Gut
826	Gut_Odoribacter	Cysteinylglycine	0.334008097	0.002990316	Gut
827	Gut_Escherichia/Shigella	Cysteinylglycine	0.311098843	0.005888544	Gut
828	Gut_Granulicatella	Cysteinylglycine	-0.310362732	0.006013113	Gut
829	Gut_Beduinibacterium	Cysteinylglycine	0.380908565	0.000631771	Gut
830	Gut_Agathobaculum	Cysteinylglycine	-0.316052369	0.005107952	Gut
831	Gut_Zea	Cysteinylglycine	0.313686314	0.005468571	Gut
832	Gut_Bifidobacterium	Cysteinylglycine	-0.431190068	9.04E-05	Gut
833	Gut_Unclassified_Clostridia	Cysteinylglycine	0.30568317	0.006860811	Gut
834	Gut_Marvinbryantia	Cysteinylglycine	0.31176718	0.005777424	Gut
1169	Gut_Coprobacter	Cysteinylglycine	0.312108944	0.00572132	Gut
1557	Oral_Staphylococcus	Cysteinylglycine	0.362960357	0.000640181	Oral
1558	Oral_Stomatobaculum	Cysteinylglycine	0.314344342	0.003391191	Oral
1559	Oral_Dialister	Cysteinylglycine	0.367832714	0.000533598	Oral
1560	Oral_Brucella	Cysteinylglycine	0.329483384	0.002075741	Oral
1561	Oral_Sphingomonas	Cysteinylglycine	0.311679809	0.003687811	Oral
1562	Oral_Filifactor	Cysteinylglycine	0.30422271	0.004644762	Oral
1563	Oral_Unclassified_Lactobacillales	Cysteinylglycine	0.343456551	0.001290339	Oral
2116	Skin_Gemella	Cysteinylglycine	0.327872836	0.002329807	Skin
2117	Skin_Peptostreptococcus	Cysteinylglycine	0.308575478	0.004292753	Skin
2118	Skin_Methylobacterium	Cysteinylglycine	0.30033563	0.005507158	Skin
2119	Skin_Escherichia/Shigella	Cysteinylglycine	-0.321334015	0.002878561	Skin
2120	Skin_Kocuria	Cysteinylglycine	-0.375741622	0.000428109	Skin
2121	Skin_Winkia	Cysteinylglycine	0.31319385	0.003721907	Skin
2122	Skin_Unclassified_Aurantimonadaceae	Cysteinylglycine	-0.356759931	0.000865042	Skin
2123	Skin_Rubellimicrobium	Cysteinylglycine	0.30684729	0.004525622	Skin
2124	Skin_Unclassified_Proteobacteria	Cysteinylglycine	-0.314064564	0.003622212	Skin
2125	Skin_Stenotrophomonas	Cysteinylglycine	0.399028045	0.000170058	Skin
2126	Skin_Roseomonas	Cysteinylglycine	-0.362984712	0.00069009	Skin
2127	Skin_Aeromonas	Cysteinylglycine	-0.309702437	0.004146702	Skin
2128	Skin_Luteimonas	Cysteinylglycine	-0.322263845	0.002794054	Skin
2129	Skin_Blastococcus	Cysteinylglycine	-0.326173566	0.002462537	Skin
2130	Skin_Pseudoxanthomonas	Cysteinylglycine	-0.308049003	0.004362538	Skin
2131	Skin_Aquabacterium	Cysteinylglycine	-0.343071495	0.001399578	Skin
2132	Skin_Rheinheimera	Cysteinylglycine	-0.349703097	0.001111535	Skin
2133	Skin_Conchiformibius	Cysteinylglycine	-0.387034393	0.000275939	Skin
2134	Skin_Lawsonella	Cysteinylglycine	-0.341157949	0.001494422	Skin
2135	Skin_Caulobacter	Cysteinylglycine	-0.31902561	0.003098341	Skin
2136	Skin_Phenylobacterium	Cysteinylglycine	-0.371774688	0.000497673	Skin
2137	Skin_Unclassified_Rhizobiales	Cysteinylglycine	-0.318924364	0.003108315	Skin
2274	Skin_Phocaeicola	Cysteinylglycine	-0.371138718	0.000509741	Skin
2275	Skin_Bacteroides	Cysteinylglycine	-0.33517432	0.00182968	Skin
2276	Skin_Collinsella	Cysteinylglycine	-0.393088925	0.000216616	Skin
2277	Skin_Bifidobacterium	Cysteinylglycine	-0.365732163	0.000623682	Skin
2278	Skin_Parabacteroides	Cysteinylglycine	-0.325274124	0.002535506	Skin
2279	Skin_Lacticaseibacillus	Cysteinylglycine	-0.395496585	0.000196483	Skin
2736	Nasal_Porphyromonas	Cysteinylglycine	0.308494482	0.004303424	Nasal
2737	Nasal_Unclassified_SR1	Cysteinylglycine	0.324401764	0.002608127	Nasal
2738	Nasal_Enhydrobacter	Cysteinylglycine	-0.393988023	0.000208885	Nasal
